train/n_updates,train/learning_rate,time/total_timesteps,train/reward,train/critic_loss,train/actor_loss,time/time_elapsed,time/episodes,train/mean_reward,time/fps
8601,0.0001,11468,-0.92768824,1273.8453236697317,-35.56222349673478,170,4,0.15209141,67
20069,0.0001,22936,-0.92768824,154.16130642214011,-39.58914232736354,348,8,0.12296374,65
31537,0.0001,34404,-0.92768824,39.39342834153656,-28.963417968643554,15,12,0.11974988,186
43005,0.0001,45872,-0.92768824,7.271074470635445,-21.318235916587422,257,16,0.12023737,55
54473,0.0001,57340,-0.92768824,2.9859108239214804,-17.281208170387526,500,20,0.11530094,51
65941,0.0001,68808,-0.92768824,1.7904671290463838,-14.95199467423156,83,24,0.11445465,68
77409,0.0001,80276,-0.92768824,1.1936892736631692,-13.45928440785882,359,28,0.115658,47
88877,0.0001,91744,-0.92768824,0.9570394681021441,-12.581924710075823,649,32,0.11258737,44
100345,0.0001,103212,-0.92768824,0.7657707701442048,-12.102404707185807,170,36,0.11299696,50
111813,0.0001,114680,-0.92768824,0.6574882050819584,-11.844092119933421,488,40,0.113839544,41
123281,0.0001,126148,-0.92768824,0.607800031544067,-11.727839555564058,855,44,0.11213407,36
134749,0.0001,137616,-0.92768824,0.5180733532862127,-11.707986003312243,290,48,0.11215866,39
146217,0.0001,149084,-0.92768824,0.45033561519142806,-11.680235195292967,621,52,0.11290402,36
157685,0.0001,160552,-0.92768824,0.403110811110673,-11.496701692844626,15,56,0.11192885,179
169153,0.0001,172020,-0.92768824,0.38504614777678514,-11.47519039267815,345,60,0.111697644,41
180621,0.0001,183488,-0.92768824,0.3329402407170652,-11.500772548877782,743,64,0.112334825,34
192089,0.0001,194956,-0.92768824,0.28991431762267167,-11.41365408672869,120,68,0.111848466,47
203557,0.0001,206424,-0.92768824,0.33087341057836367,-11.335180236522353,515,72,0.111305535,33
215025,0.0001,217892,-0.92768824,0.2690366118364127,-11.284227930297824,913,76,0.11190503,31
226493,0.0001,229360,-0.92768824,0.26536834275302545,-11.329202254973598,216,80,0.111501716,39
237961,0.0001,240828,-0.92768824,0.2462901665183011,-11.323507245010227,610,84,0.11111503,32
