time/iterations,time/total_timesteps,time/time_elapsed,train/mean_reward,time/fps,train/reward,train/clip_fraction,train/loss,train/approx_kl,train/explained_variance,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/std,train/value_loss,train/clip_range,train/entropy_loss
1,2048,11,0.06303359,170,0.3029002,,,,,,,,,,,
2,4096,24,0.063029036,164,-0.4823852,0.132568359375,5.9527812004089355,0.010773954,-0.04216492176055908,10,0.0001,-0.021286481528659352,1.0000911951065063,12.279937717318536,0.2,-41.15254094600677
3,6144,37,0.084057495,165,-1.4303375,0.0990234375,16.996328353881836,0.010249674,-0.007337093353271484,20,0.0001,-0.017071198508347152,1.001001000404358,36.305420976877215,0.2,-41.164501905441284
4,8192,48,0.09234191,169,0.7647922,0.103759765625,32.82819366455078,0.01177722,-0.004792332649230957,30,0.0001,-0.017218322788539808,1.0023270845413208,68.61251746416092,0.2,-41.19577808380127
5,10240,61,0.0891951,165,1.2014928,0.082373046875,10.43841552734375,0.013093005,-0.007048964500427246,40,0.0001,-0.015760954028519337,1.0032984018325806,21.48802614212036,0.2,-41.22945954799652
6,12288,75,0.0947868,162,-1.0539657,0.100341796875,24.585264205932617,0.012042646,-0.009130001068115234,50,0.0001,-0.015973865197156555,1.0047870874404907,48.497074007987976,0.2,-41.26323337554932
7,14336,90,0.09683608,158,-8.14708,0.036279296875,29.064210891723633,0.0072564567,0.003353595733642578,60,0.0001,-0.011968702616286464,1.0052162408828735,81.8714334011078,0.2,-41.294285249710086
8,16384,105,0.09520543,155,0.13619462,0.083154296875,25.726421356201172,0.010781272,-0.008513331413269043,70,0.0001,-0.015212408211664297,1.0058261156082153,70.25710455179214,0.2,-41.30754494667053
9,18432,119,0.09450923,154,-0.10481823,0.12060546875,6.319289684295654,0.012466122,-0.010966300964355469,80,0.0001,-0.019041303775156847,1.0061051845550537,10.96184241771698,0.2,-41.32168653011322
10,20480,132,0.09632009,154,-0.12994336,0.14794921875,10.526247024536133,0.012130199,0.003919124603271484,90,0.0001,-0.01403406885365257,1.0075992345809937,48.052635085582736,0.2,-41.347569012641905
11,22528,147,0.097782426,152,-1.4618093,0.093798828125,50.009883880615234,0.011335861,-0.012477636337280273,100,0.0001,-0.011776958635891788,1.0077663660049438,57.88302557468414,0.2,-41.368701457977295
12,24576,161,0.09513293,151,2.7601118,0.00830078125,9.006731033325195,0.004463379,-0.021814942359924316,110,0.0001,-0.00812185028771637,1.0080664157867432,21.94640583395958,0.2,-41.37673940658569
13,26624,174,0.093952276,152,0.37764436,0.0525390625,22.10493278503418,0.009002996,0.01264888048171997,120,0.0001,-0.010235767290578224,1.0090680122375488,49.631575393676755,0.2,-41.393149328231814
14,28672,187,0.09738378,153,0.0108088795,0.027880859375,30.2902889251709,0.006598097,-0.011947989463806152,130,0.0001,-0.008177392417564988,1.009345531463623,81.0523612499237,0.2,-41.41519932746887
15,30720,200,0.095157064,153,0.27174535,0.072900390625,21.130809783935547,0.00860136,0.002017498016357422,140,0.0001,-0.010671512359112966,1.0095632076263428,71.10514560937881,0.2,-41.42010049819946
1,32768,12,0.09487482,160,1.849719,0.124853515625,6.462110996246338,0.012183408,-0.017510294914245605,150,0.0001,-0.01780729170423001,1.0101196765899658,16.330327212810516,0.2,-41.43044447898865
2,34816,26,0.09622319,156,-0.46749917,0.07802734375,16.75229263305664,0.01048086,0.009442627429962158,160,0.0001,-0.012849993543932214,1.0103850364685059,80.39158989191056,0.2,-41.44482843875885
3,36864,40,0.09620639,153,-11.582559,0.0556640625,45.27830505371094,0.008456495,0.0002142786979675293,170,0.0001,-0.011773612436081748,1.0103974342346191,78.17929186820984,0.2,-41.4490743637085
4,38912,55,0.094728604,146,3.0632207,0.060888671875,11.492403030395508,0.009796556,0.016600191593170166,180,0.0001,-0.01335022825805936,1.01051664352417,19.358034074306488,0.2,-41.44897859096527
5,40960,68,0.09351384,149,-1.677303,0.076220703125,52.0912971496582,0.010646063,-0.016137123107910156,190,0.0001,-0.014419321939931251,1.0114802122116089,54.88355020284653,0.2,-41.461843371391296
6,43008,81,0.09272034,151,-0.12519422,0.09326171875,72.05022430419922,0.012245493,-0.0009633302688598633,200,0.0001,-0.009607951500220225,1.011749505996704,60.63177136182785,0.2,-41.48368589878082
7,45056,93,0.0920982,153,0.06535867,0.0216796875,27.255916595458984,0.00538065,0.017875969409942627,210,0.0001,-0.00940589870151598,1.0118741989135742,70.00044091939927,0.2,-41.48858206272125
8,47104,104,0.092147455,156,-0.12919036,0.09658203125,5.46174430847168,0.011608753,-0.010317325592041016,220,0.0001,-0.015803833535755984,1.0133174657821655,16.023132115602493,0.2,-41.50697479248047
9,49152,116,0.092204966,158,-1.5193505,0.092626953125,32.53459930419922,0.013926331,0.008546411991119385,230,0.0001,-0.013462327831075527,1.0143632888793945,87.04524434804917,0.2,-41.54444227218628
